title,img_url,director,starring,years,location,rating,reviews,genre
天书奇谭,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2700138245.webp,王树忱 Shuchen Wang / 钱运达 Yunda Qian,"丁建华 Jianhua Din... 
                            1983(中国大陆) /",2021,中国大陆,9.2,319964人评价,"动画, 奇幻"
超能陆战队  / Big Hero 6,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2224568669.webp,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,斯科特...,2014,美国,8.8,1117618人评价,"喜剧, 动作, 科幻, 动画, 冒险"
爱在黎明破晓前  / Before Sunrise,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.webp,理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ...,1995,"美国, 奥地利, 瑞士",8.8,774341人评价,"剧情, 爱情"
第六感  / The Sixth Sense,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.webp,M·奈特·沙马兰 M. Night Shyamalan,布鲁斯·威利斯 Bruce Wi...,1999,美国,8.9,619466人评价,"剧情, 悬疑, 惊悚"
被嫌弃的松子的一生  / 嫌われ松子の一生,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.webp,中岛哲也 Tetsuya Nakashima,中谷美纪 Miki Nakatani / 瑛太 E...,2006,日本,8.8,758553人评价,"剧情, 歌舞"
爱在日落黄昏时  / Before Sunset,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561542458.webp,理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ...,2004,"美国, 法国",8.9,633788人评价,"剧情, 爱情"
重庆森林  / 重慶森林,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792381411.webp,王家卫 Kar Wai Wong,林青霞 Brigitte Lin / 金城武 Takeshi K...,1994,中国香港,8.8,900987人评价,"剧情, 爱情"
入殓师  / おくりびと,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2707581855.webp,泷田洋二郎 Yôjirô Takita,本木雅弘 Masahiro Motoki / ...,2008,日本,8.9,731050人评价,剧情
未麻的部屋  / Perfect Blue,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.webp,今敏 Satoshi Kon,岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,1997,日本,9.1,408229人评价,"剧情, 犯罪, 动画, 悬疑, 惊悚"
茶馆,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2528965424.webp,,,,,9.6,195146人评价,
剪刀手爱德华  / Edward Scissorhands,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480956937.webp,蒂姆·波顿 Tim Burton,约翰尼·德普 Johnny Depp / 薇诺娜·...,1990,美国,8.7,1103365人评价,"剧情, 爱情, 奇幻"
哈利·波特与火焰杯  / Harry Potter and the Goblet of Fire,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913456904.webp,迈克·内威尔 Mike Newell,丹尼尔·雷德克里夫 Daniel Radclif...,2005,"英国, 美国",8.8,774524人评价,"悬疑, 奇幻, 冒险"
断背山  / Brokeback Mountain,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2169104127.webp,李安 Ang Lee,希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...,2005,"美国, 加拿大",8.8,764862人评价,"剧情, 爱情, 同性, 家庭"
菊次郎的夏天  / 菊次郎の夏,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2620392435.webp,北野武 Takeshi Kitano,北野武 Takeshi Kitano / 关口雄介 Yus...,1999,日本,8.9,659098人评价,"剧情, 喜剧"
借东西的小人阿莉埃蒂  / 借りぐらしのアリエッティ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p617533616.webp,米林宏昌 Hiromasa Yonebayashi,志田未来 Mirai Shida / 神木...,2010,日本,8.9,612516人评价,"动画, 奇幻, 冒险"
勇敢的心  / Braveheart,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2004174709.webp,梅尔·吉布森 Mel Gibson,梅尔·吉布森 Mel Gibson / 苏菲·玛...,1995,美国,8.9,595665人评价,"动作, 传记, 剧情, 历史, 战争"
头脑特工队  / Inside Out,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2874927470.webp,,,,,8.8,772781人评价,
时空恋旅人  / About Time,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.webp,理查德·柯蒂斯 Richard Curtis,多姆纳尔·格里森 Domhnall Gl...,2013,"英国, 美国",8.8,765741人评价,"喜剧, 爱情, 奇幻"
无人知晓  / 誰も知らない,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p661160053.webp,是枝裕和 Hirokazu Koreeda,柳乐优弥 Yûya Yagira / 北浦爱...,2004,日本,9.1,363125人评价,剧情
消失的爱人  / Gone Girl,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.webp,大卫·芬奇 David Fincher,本·阿弗莱克 Ben Affleck / 罗莎蒙...,2014,美国,8.7,1049543人评价,"剧情, 犯罪, 悬疑, 惊悚"
倩女幽魂,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2918554634.webp,程小东 Siu-Tung Ching,张国荣 Leslie Cheung / 王祖贤 Joey W...,1987,中国香港,8.8,819066人评价,"爱情, 奇幻, 武侠, 古装"
驯龙高手  / How to Train Your Dragon,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2210954024.webp,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,...,2010,美国,8.8,839786人评价,"动画, 奇幻, 冒险"
花样年华  / 花樣年華,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2918312477.webp,王家卫 Kar Wai Wong,张曼玉 Maggie Cheung / 梁朝伟 Tony Leu...,2000,中国香港,8.8,773966人评价,"剧情, 爱情"
完美的世界  / A Perfect World,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2190556408.webp,克林特·伊斯特伍德 Clint Eastwood,凯文·科斯特纳 Kevin Cos...,1993,美国,9.1,351449人评价,"剧情, 犯罪"
阳光灿烂的日子,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564685215.webp,姜文 Wen Jiang,夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,1994,"中国大陆, 中国香港",8.8,679261人评价,"剧情, 爱情"
新世界  / 신세계,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1903379979.webp,朴勋政 Hoon-jung Park,李政宰 Jung-Jae Lee / 崔岷植 Min-sik...,2013,韩国,8.9,509780人评价,"剧情, 犯罪"
小森林 夏秋篇  / リトル・フォレスト 夏・秋,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564498893.webp,森淳一 Junichi Mori,桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,2014,日本,9.0,463711人评价,剧情
傲慢与偏见  / Pride & Prejudice,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2016401659.webp,乔·怀特 Joe Wright,凯拉·奈特莉 Keira Knightley / 马修·...,2005,"法国, 英国, 美国",8.7,899438人评价,"剧情, 爱情"
天使爱美丽  / Le Fabuleux destin d'Amélie Poulain,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.webp,让-皮埃尔·热内 Jean-Pierre Jeunet,奥黛丽·塔图 Audrey Tau...,2001,"法国, 德国",8.7,1007000人评价,"剧情, 喜剧, 爱情"
一个叫欧维的男人决定去死  / En man som heter Ove,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2406624993.webp,汉内斯·赫尔姆 Hannes Holm,罗夫·拉斯加德 Rolf Lassgård...,2015,瑞典,8.9,550216人评价,剧情
玩具总动员3  / Toy Story 3,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1283675359.webp,李·昂克里奇 Lee Unkrich,汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,2010,美国,8.9,576071人评价,"喜剧, 动画, 奇幻, 冒险"
"怪兽电力公司  / Monsters, Inc.",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2513247938.webp,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,约...,2001,美国,8.8,750261人评价,"儿童, 喜剧, 动画, 奇幻, 冒险"
侧耳倾听  / 耳をすませば,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456692072.webp,近藤喜文 Yoshifumi Kondo,本名阳子 Youko Honna / 小林桂树 K...,1995,日本,8.9,509686人评价,"剧情, 爱情, 动画"
教父3  / The Godfather: Part III,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2169664351.webp,弗朗西斯·福特·科波拉 Francis Ford Coppola,阿尔·帕西诺 A...,1990,美国,9.0,418890人评价,"剧情, 犯罪"
